"Timestamp","Saya berlangganan Indihome karena reputasi produk yang bagus","Saya memperoleh manfaat yang diberikan pada produk Indihome","Tingkat keamanan dan kenyamanan produk Indihome telah memenuhi keinginan saya","Saya berlangganan produk indihome karena memperhatikan penggunaan produk Indihome secara jangka panjang","Saya mengikuti teman / tetangga untuk menjadi pelanggan dari produk Indihome","Saya sering memberitahu teman / tetangga tentang hal positif dari kualitas pelayanan Indihome","Saya merekomendasikan kepada teman / tetangga untuk menggunakan produk Indihome","Saya melihat teman / tetangga saya marah tentang keluhan dari produk Indihome","Pihak Indihome sangat adil kepada para pelanggan ketika menangani keluhan pelanggan","Saya memperoleh kemudahan mendapat pelayanan untuk menghubungi customer service.","Bagaimana cara pihak indihome menawarkan produk indihome kepada anda?"
"2021/08/05 12:18:08 pm GMT+7","2","3","3","3","2","2","2","4","3","3","Saya menggunakan indihome tidak melalui penawaran indihome melainkan dari tunjangan kantor ayah saya dulu"
"2021/08/05 12:21:08 pm GMT+7","5","5","5","5","4","5","5","1","4","5","penerapan sistem door to door, dengan sales yang memberikan brosur serta penjelasan yang detail"
"2021/08/05 12:28:05 pm GMT+7","3","4","3","3","2","2","3","4","2","3","Ditawarkan sesuai dengan SOP yg ada"
"2021/08/05 12:30:35 pm GMT+7","4","4","3","3","2","3","3","2","4","4","melalui sosial media"
"2021/08/05 12:35:59 pm GMT+7","4","4","4","4","4","4","4","4","4","4","Promosi media massa"
"2021/08/05 12:42:17 pm GMT+7","3","4","3","3","5","4","4","4","4","3","saya datang ke kantor indihome dulu, baru petugas menawarkan macam produk dengan paket2 terntentu"
"2021/08/05 3:16:57 pm GMT+7","4","4","3","3","4","3","5","4","3","3","lewat media sosial Wa"
"2021/08/05 3:19:20 pm GMT+7","2","3","3","2","5","4","3","4","4","2","diberi brosur "
"2021/08/05 6:15:01 pm GMT+7","4","4","5","4","3","3","3","3","4","3","Dengan bahasa yang sopan dan bahasa yang digunakan cukup menarik pelanggan"
"2021/08/05 7:39:44 pm GMT+7","1","1","1","1","1","1","1","5","1","1","Beda sales beda harga"
"2021/08/05 7:49:45 pm GMT+7","4","4","4","4","4","4","4","4","4","4","Promosi diiklan dan melalui sms"
"2021/08/05 7:57:35 pm GMT+7","5","5","4","5","2","3","3","1","4","4","Baik"
"2021/08/05 10:51:59 pm GMT+7","4","4","4","2","4","3","2","3","4","5","Monggo mas "
"2021/08/06 1:38:45 pm GMT+7","3","4","3","4","2","3","3","5","4","4","Melalui telp"
"2021/08/06 2:46:47 pm GMT+7","4","4","3","4","4","3","4","3","4","4","Dengan baik dan jelas"
"2021/08/06 3:20:40 pm GMT+7","3","4","2","2","1","2","1","1","1","2","Dipaksa"
"2021/08/06 3:44:58 pm GMT+7","4","4","4","4","3","4","4","3","3","4","Selbaran yang dikasih di pagar rumah"
"2021/08/06 7:06:44 pm GMT+7","4","4","4","5","3","5","4","2","4","4","Memberikan brosur dan menjelaskan secara singkat"
"2021/08/06 8:39:01 pm GMT+7","3","3","3","4","4","4","5","3","3","4","Dengan menawarkan kelebihan setelah menjadi pelanggan indihome"
"2021/08/06 8:53:33 pm GMT+7","5","4","5","4","3","5","5","3","5","4","Menjamin uang akan kembali"
"2021/08/06 8:54:22 pm GMT+7","5","5","5","5","5","5","5","5","5","5","Dengan memasang pamflet di tempat - tempat umum seperti jalan raya"
"2021/08/06 9:05:13 pm GMT+7","4","5","2","4","4","5","5","1","4","4","melalui brosur"
"2021/08/06 9:19:16 pm GMT+7","5","5","5","5","4","5","5","2","4","4","Dengan sopan dan ramah"
"2021/08/06 9:23:13 pm GMT+7","5","5","5","5","5","3","3","5","5","5","Memberikan penjelasan terkait besaran Mbps dan kecepatan sinyal"
"2021/08/06 9:34:33 pm GMT+7","4","4","4","5","4","4","4","2","5","5","lewat sosial media"
"2021/08/06 11:11:10 pm GMT+7","5","5","3","4","4","5","4","1","5","4","Lihat mobil indihome"
"2021/08/07 12:13:36 am GMT+7","5","5","4","5","3","5","4","2","4","5","jelas dan baik"
"2021/08/07 7:53:41 am GMT+7","5","5","5","5","5","5","5","5","5","5","Sangat baik"
"2021/08/07 7:54:28 am GMT+7","5","5","5","5","5","4","5","5","5","5","Pihak indihome menawarkan kecepatan internet yang bagus,saya tergiur dan saya berlangganan setelahnya dan terbukti,indihome memang cepat internetnya"
"2021/08/07 7:58:44 am GMT+7","5","5","4","5","5","4","5","4","5","4","Menawarkan dengan baik hati dan sopan. "
"2021/08/07 8:00:37 am GMT+7","4","5","4","4","5","4","4","3","3","4","Melalui promosi yang ada di pinggir jalan"
"2021/08/07 10:19:16 am GMT+7","5","5","5","5","5","5","5","5","5","5","Sangat ramah
"
"2021/08/07 11:41:49 am GMT+7","4","4","4","4","4","4","4","3","3","4","Mudah ramah"
"2021/08/07 2:19:21 pm GMT+7","4","4","4","4","4","4","4","4","4","4","Melalui brossur"
"2021/08/07 6:01:31 pm GMT+7","4","4","5","4","4","4","4","3","5","5","Promosi"
