"Timestamp","Saya akan terus menggunakan paket Indihome","Saya ingin membeli paket tambahan dari PT. Telkom","Saya merekomendasikan paket Indihome kepada teman, tetangga, saudara, atau pihak lain","Hal positif dari Indihome selalu saya rekomendasikan kepada orang lain, namun jika sedang buruk konektivitasnya, saya akan diam dan memberitahu kepada perusahaan","Saya tidak terpengaruh oleh biaya yang lebih rendah yang ditawarkan oleh produk sejenis dari perusahaan lain","Apa alasan anda tetap memakai produk indihome?"
"2021/08/12 11:55:39 am GMT+7","4","3","4","4","4","Karena jaringannya stabil jika tidak ada gangguan"
"2021/08/12 12:34:15 pm GMT+7","4","4","4","3","3","Dari dulu sudah menggunakan layanan indihome"
"2021/08/12 1:18:55 pm GMT+7","2","4","2","1","2","Gadaa lawan"
"2021/08/12 1:19:18 pm GMT+7","3","1","3","2","2","Gada lawan"
"2021/08/12 1:53:49 pm GMT+7","5","3","3","4","3","Sudah terlanjur nyaman sejak dulu"
"2021/08/12 2:12:36 pm GMT+7","2","3","3","3","2","Tidak tahu,"
"2021/08/12 3:49:31 pm GMT+7","3","3","3","4","3","konektivitas yang mungkin lebih stabil dan jangkauannya luas hampir seluruh pelosok negri tercinta, yaitu indonesia hehe"
"2021/08/12 10:11:41 pm GMT+7","1","1","1","1","1","GAK MEMAKAI KARENA TIDAK SAMPAI DIRUMAH SAYA, BUMN DOANG KAGAK SAMPAI KE DESA. PADAHAL ADA 2 TIANG TAPI JARAKNYA 500 METERAN SEMUA JADI GA BISA"
"2021/08/13 12:05:14 am GMT+7","3","2","4","4","2","Kualitas jaringan stabil"
"2021/08/13 12:06:01 am GMT+7","4","3","4","4","4","Indihome sebagai pelopor wifi"
"2021/08/13 12:07:14 am GMT+7","4","3","3","1","3","Loyalitas terhadap produk telkomsel"
"2021/08/13 8:08:41 am GMT+7","4","3","4","3","3","Pelayanan bagus"
"2021/08/13 9:55:00 am GMT+7","3","2","3","3","3","Mungkin karena murah ?"
"2021/08/13 9:55:08 am GMT+7","4","4","4","4","5","Pelanggan lama dan lebih mudah untuk dihubungi jika ada masalah"
"2021/08/13 12:44:23 pm GMT+7","3","4","2","2","2","Jaringan cepat"
"2021/08/13 1:21:47 pm GMT+7","4","3","3","4","2","banyak yg menggunakan"
"2021/08/13 10:41:41 pm GMT+7","5","5","5","3","5","Karena sudah terjamin kualitas jaringannya"
"2021/08/13 10:46:31 pm GMT+7","4","3","4","4","4","Karena jaringan wifinya cepat, walaupun terkadang di waktu tertentu jaringan tidak stabil"
"2021/08/13 11:02:01 pm GMT+7","4","4","5","3","4","Kecepatan internet"
"2021/08/14 5:15:45 am GMT+7","3","3","4","3","3","Biaya terjangkau"
"2021/08/14 7:53:38 am GMT+7","5","3","4","3","5","Karena banyak rekomendasi dari teman yang sudah lebih dulu pakai indihome"
"2021/08/14 8:00:17 am GMT+7","4","4","5","5","4","Gambar selalu kualitas terbaik"
"2021/08/14 11:25:36 am GMT+7","4","3","4","2","2","karena hanya indihome yang ada akses di daerah saya"
"2021/08/14 11:27:10 am GMT+7","3","3","3","4","4","mungkin karena promosi dari pihak indhome yang mudah di jangkau oleh masyarakat, dibanding dengan produk laiinya"
"2021/08/14 11:28:51 am GMT+7","4","4","4","2","3","sudah lama pake indihome"
"2021/08/14 11:32:20 am GMT+7","3","3","5","2","3","lebih murah"
"2021/08/14 11:33:42 am GMT+7","4","2","3","4","3","kualitas layanan"
"2021/08/14 11:40:15 am GMT+7","3","3","2","4","4","dah lama make"
"2021/08/14 7:55:41 pm GMT+7","4","1","4","3","2","Murcee Dan lancar"
"2021/08/14 9:24:14 pm GMT+7","5","3","5","5","5","Jaringan kuat"
"2021/08/15 10:17:11 am GMT+7","5","4","4","4","4","jaringan oke"
"2021/08/15 10:29:38 am GMT+7","3","3","3","2","3","pengen pake aja"
