"Timestamp","Apakah anda mengetahui produk indihome?","Apakah anda menggunakan atau berlangganan produk indihome?","Berapa kecepatan layanan indihome yang anda gunakan?","Apakah kecepatan jaringan indihome sesuai dengan harga yang ditawarkan?","Apakah selama anda menggunakan layanan indihome pernah mengalami kendala?","Seberapa sering anda mengalami kendala pada jaringan indihome?","Jika iya, kendala apa yang dialami?","Ketika anda mengalami kendala jaringan, seberapa cepat petugas indihome melakukan perbaikan?","Apakah anda puas dengan layanan perbaikan kendala jaringan yang dilakukan oleh petugas indihome?","Apakah anda pernah menggunakan produk selain indihome?","Jika iya, produk competitor apa yang pernah anda berlangganan?","Dari segi harga, apakah produk lain yang pernah anda gunakan lebih terjangkau?","Jika iya, apakah dengan harga yang lebih terjangkau yang ditawarkan produk lain, anda tetap berlangganan dengan indihome?","Apa alasan anda tetap ingim berlangganan produk indihome?","Apakah anda mengetahui telkomsel orbit?","Apakah ditempat anda terjangkau telkomsel orbit?","Apakah anda menggunakan telkomsel orbit?","Jika iya, bagaimana kualitas telkomsel orbit dibanding dengan produk competitor lainnya?","Apakah harga yang ditawarkan telkomsel orbit masih terjangkau?","Kendala apa saja yang anda alami selama menggunakan telkomsel orbit?"
"2021/07/28 8:42:25 pm GMT+7","Ya","Tidak","","","","","","","","","","","","","Tidak","","","","",""
"2021/07/28 8:44:18 pm GMT+7","Ya","Ya","10 Mbps","Ya","Ya","Jarang","Kendala sinyal suka mati /loss tiba2, sinyal tidak stabil","Satu kali 24 jam","Ya","Tidak","Nope","Ya","Ya","terjangkau dan mudah untuk service","Tidak","","","","",""
"2021/07/28 8:45:14 pm GMT+7","Ya","Ya","10 Mbps","Mungkin","Ya","Mungkin sebulan sekali","Koneksi terhubung, namun tidak bisa mengakses internet","< 24 jam","Ya","Ya","Biznet","Ya","Ya","Pelayanan yang menurut saya cepat","Tidak","","","","",""
"2021/07/28 8:56:04 pm GMT+7","Ya","Tidak","","","","","","","","","","","","","Tidak","","","","",""
"2021/07/28 9:14:17 pm GMT+7","Ya","Tidak","","","","","","","","","","","","","Tidak","","","","",""
"2021/07/28 9:21:52 pm GMT+7","Ya","Ya","10 Mbps","Mungkin","Ya","Sering","Akhir2 ini sering no internet connection tiba2","Satu kali 24 jam","Ya","Tidak","-","Tidak","Tidak","Baru bisa indihome didaeranya","Tidak","","","","",""
"2021/07/28 9:22:46 pm GMT+7","Ya","Tidak","","","","","","","","","","","","","Ya","Ya","Tidak","","",""
"2021/07/28 9:25:44 pm GMT+7","Ya","Tidak","","","","","","","","","","","","","Tidak","","","","",""
"2021/07/28 9:28:07 pm GMT+7","Ya","Ya","20 Mbps","Ya","Ya","Kadang-kadang ","Sinyal down","Satu kali 24 jam","Ya","Tidak","Tidak ada","Tidak","Tidak","Sudah nyaman dengan indihome ","Tidak","","","","",""
"2021/07/28 9:34:26 pm GMT+7","Ya","Tidak","","","","","","","","","","","","","Ya","Ya","Tidak","","",""
